Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,3987070.77,234366.44,563201.10,1832,0,1599,0,2360,0,380,0,30,0.6927397740953763,3444
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,13862416.03,246749.21,105090.00,2934,0,1212,0,4590,0,1154,0,46,0.9357581176145036,10548
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2127015.18,70157.19,10850.00,1311,0,2081,0,1534,0,119,0,9,0.7065331879982492,1116
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,2861444.46,1739318.55,2314998.00,1295,0,505,0,1828,0,741,0,19,0.9417690108817229,6828
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3287851.75,1031834.89,2209977.00,1551,0,1142,0,1860,0,504,0,37,0.5684342959106337,6552
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2598747.54,625738.07,1322387.00,1061,0,1199,0,1503,0,431,0,11,0.8470788315858429,2688
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2325259.03,858691.02,377063.17,859,0,851,0,1051,0,383,0,27,0.8024653446218185,2604
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3316768.62,827194.14,476795.14,918,0,588,0,1345,0,267,0,25,0.8402714234605902,2400
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,541108.79,229541.66,309712.93,309,0,229,0,371,0,138,0,21,0.7996072734251348,1308
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,12027697.22,0.00,0,3777,0,1352,0,5076,0,1742,50,0.9201638826538868,17712
